period,State,Sales,Price
5/1/2022,TN,7714574.8,10.34
5/1/2022,TX,36250018,10.33
5/1/2022,UT,2516651.3,8.49
5/1/2022,VA,10052188,10.44
5/1/2022,VT,422002.61,17.07
5/1/2022,WA,6791232.5,8.95
5/1/2022,WI,5568378.9,11.93
5/1/2022,WV,2565279.9,9.62
5/1/2022,WY,1280008.4,8.37
4/1/2022,AK,481308.12,20.35
4/1/2022,AL,6171531.1,10.92
4/1/2022,AR,3491071.9,9.1
4/1/2022,AZ,5882383.9,10.89
4/1/2022,CA,18401717,21.26
4/1/2022,CO,4306093.2,11.05
4/1/2022,CT,1923085.2,22.22
4/1/2022,DC,699273.94,14.54
4/1/2022,DE,839102.1,11.08
4/1/2022,FL,19272217,12.21
4/1/2022,GA,9975676.7,11.25
4/1/2022,HI,713111.14,37.96
4/1/2022,IA,4086823.7,8.39
4/1/2022,ID,1858764.9,7.99
4/1/2022,IL,9721392.3,11.53
4/1/2022,IN,7483222.4,11.15
4/1/2022,KS,2937701.4,11.03
4/1/2022,KY,5633207.2,9.87
4/1/2022,LA,6847687.2,9.04
4/1/2022,MA,3966463.7,19.82
4/1/2022,MD,4043634.2,12.55
4/1/2022,ME,890904.48,19.58
4/1/2022,MI,7448325.1,12.88
4/1/2022,MN,4972648,11.6
4/1/2022,MO,5548656.4,9.7
4/1/2022,MS,3507869.2,10.39
4/1/2022,MT,1244433.5,9.49
4/1/2022,NC,9466516.8,9.63
4/1/2022,ND,1858866.4,8.52
4/1/2022,NE,2392985.2,8.66
4/1/2022,NH,795559.51,19.25
4/1/2022,NJ,5036604.1,14.52
4/1/2022,NM,2046430,9.47
4/1/2022,NV,2790350.8,9.76
4/1/2022,NY,10564604,16.68
4/1/2022,OH,10953126,10.23
4/1/2022,OK,4754476.5,8.72
4/1/2022,OR,4203942.7,9.17
4/1/2022,PA,10795834,10.83
4/1/2022,RI,658811.61,17.34
4/1/2022,SC,5874658.1,10
4/1/2022,SD,1042662.9,10.31
4/1/2022,TN,7307638.1,10.34
4/1/2022,TX,32173174,9.4
4/1/2022,UT,2337229,8.47
4/1/2022,VA,9547507.1,9.79
4/1/2022,VT,413000.95,16.86
4/1/2022,WA,7433286.4,8.89
4/1/2022,WI,5249498,11.35
4/1/2022,WV,2457159.9,9.31
4/1/2022,WY,1344295.6,8.04
3/1/2022,AK,527329.47,20.49
3/1/2022,AL,6522094.3,10.48
3/1/2022,AR,3826250.3,8.86
3/1/2022,AZ,5632085.1,10.24
3/1/2022,CA,19707709,20.87
3/1/2022,CO,4614635.7,11.01
3/1/2022,CT,2194931.7,20.77
3/1/2022,DC,812290.12,14.53
3/1/2022,DE,922359.25,11.34
3/1/2022,FL,19593215,12.05
3/1/2022,GA,10499682,10.73
3/1/2022,HI,733333.51,36.31
3/1/2022,IA,4522040.8,8.15
3/1/2022,ID,1941490.1,8.11
3/1/2022,IL,10715881,11.29
3/1/2022,IN,8122451.1,11.01
3/1/2022,KS,3129284.8,10.78
3/1/2022,KY,6092805.1,9.36
3/1/2022,LA,6931128.4,8.86
3/1/2022,MA,4086168.2,21.14
3/1/2022,MD,4666623.7,12.5
3/1/2022,ME,1076171.5,18.51
3/1/2022,MI,8164068.7,12.75
3/1/2022,MN,5644841,11.39
3/1/2022,MO,6180327.5,9.5
3/1/2022,MS,3753469.6,10.28
3/1/2022,MT,1311292,9.11
3/1/2022,NC,10183124,10.03
3/1/2022,ND,2194751.9,8.19
3/1/2022,NE,2656631.1,8.57
3/1/2022,NH,894062.13,19.74
3/1/2022,NJ,5607582.4,14.44
3/1/2022,NM,2060223.5,9.68
3/1/2022,NV,2731290.7,9.09
3/1/2022,NY,11397637,16.5
3/1/2022,OH,12431094,9.9
3/1/2022,OK,5068864.8,8.52
3/1/2022,OR,4417505.7,9.07
3/1/2022,PA,11500270,10.94
3/1/2022,RI,609610.96,19.73
3/1/2022,SC,6181333.1,10.24
3/1/2022,SD,1152365.9,10.01
3/1/2022,TN,7898229.6,10.07
3/1/2022,TX,34025980,9.29
3/1/2022,UT,2513717.3,8.35
3/1/2022,VA,9510686.8,9.78
3/1/2022,VT,465919.02,16.97
3/1/2022,WA,8064505.9,8.97
3/1/2022,WI,5800939.9,11.37
3/1/2022,WV,2779484.9,9.39
3/1/2022,WY,1420201.1,8.08
2/1/2022,AL,6826948.3,10.47
2/1/2022,AR,4005698.5,8.71
2/1/2022,AZ,5229574.3,10.64
2/1/2022,CA,16541601,20.44
2/1/2022,CO,4343201.6,10.89
2/1/2022,CT,2214557.2,23.2
2/1/2022,DC,805119.37,14.21
2/1/2022,DE,993851.98,10.96
2/1/2022,FL,18069369,12.45
2/1/2022,GA,10792840,10.29
2/1/2022,HI,653068.18,34.82
2/1/2022,IA,4445730.4,8.35
2/1/2022,ID,2002181,8.12
2/1/2022,IL,10919440,11.17
2/1/2022,IN,8410155.5,10.94
2/1/2022,KS,3204159.5,10.49
2/1/2022,KY,6453712.6,9.58
2/1/2022,LA,7651403.6,8.59
2/1/2022,MA,4267110.4,21.85
2/1/2022,MD,4931672.7,13.03
2/1/2022,ME,1073457.5,17.34
2/1/2022,MI,7864373.3,12.95
2/1/2022,MN,5459045.4,11.43
2/1/2022,MO,6785084.1,9.04
2/1/2022,MS,3936967.7,10.16
2/1/2022,MT,1390360.1,8.87
2/1/2022,NC,11704067,9.59
2/1/2022,ND,2109679.8,8.35
2/1/2022,NE,2670284,8.39
2/1/2022,NH,909144.56,19.92
2/1/2022,NJ,5471064.2,14.03
2/1/2022,NM,2012552.8,9.58
2/1/2022,NV,2584205.1,9.28
2/1/2022,NY,11551906,17.91
2/1/2022,OH,12156117,10.19
2/1/2022,OK,5195817.3,8.63
2/1/2022,OR,4375055.9,9.06
2/1/2022,PA,12373821,11.16
2/1/2022,RI,570222.63,21.56
2/1/2022,SC,6498535,10.45
2/1/2022,SD,1168520.1,10.14
2/1/2022,TN,9081211.7,10.01
2/1/2022,TX,32486552,9.42
2/1/2022,UT,2406378.4,8.42
2/1/2022,VA,11021884,9.81
2/1/2022,VT,470333.17,16.79
2/1/2022,WA,7908868.6,9
2/1/2022,WI,5583015,11.67
2/1/2022,WV,2799292.3,9.33
2/1/2022,WY,1382791.5,8.03
1/1/2022,AK,579642.48,19.89
1/1/2022,AL,7769298.4,10.66
1/1/2022,AR,4189367.6,8.65
1/1/2022,AZ,5862685.6,10.35
1/1/2022,CA,20356989,19.85
1/1/2022,CO,4756822.2,11.05
1/1/2022,CT,2610625.5,19.9
1/1/2022,DC,940338.91,14.08
1/1/2022,DE,1075149,10.83
1/1/2022,FL,18146580,11.97
1/1/2022,GA,12480191,10.33
1/1/2022,HI,727176.24,35.15
1/1/2022,IA,4949185.8,8.48
1/1/2022,ID,2277351.6,8.2
1/1/2022,IL,12371863,10.42
1/1/2022,IN,9004558.1,10.86
1/1/2022,KS,3444919.6,10.53
1/1/2022,KY,7069729.1,9.97
1/1/2022,LA,7994679,9.1
1/1/2022,MA,4437358.8,21.7
1/1/2022,MD,5994730.6,12.48
1/1/2022,ME,1152799.1,15.51
1/1/2022,MI,8844636.4,13.04
1/1/2022,MN,6096483.9,10.99
1/1/2022,MO,7474407.4,9.03
1/1/2022,MS,4086920.6,9.88
1/1/2022,MT,1490329.6,9.31
1/1/2022,NC,13578308,8.71
1/1/2022,ND,2296620.1,8.18
1/1/2022,NE,2864449.3,8.2
1/1/2022,NH,1023401,19.13
1/1/2022,NJ,6325768.1,14.53
1/1/2022,NM,2228202.2,9.48
1/1/2022,NV,2885721,9.16
1/1/2022,NY,12297357,17.17
1/1/2022,OH,13601888,10.02
1/1/2022,OK,5733027.2,8.48
1/1/2022,OR,4950958.4,9.15
1/1/2022,PA,13994033,10.99
1/1/2022,RI,636061.2,20.38
1/1/2022,SC,7333161.8,10.4
1/1/2022,SD,1263545.6,9.92
1/1/2022,TN,8883656.6,10.37
1/1/2022,TX,35159933,8.77
1/1/2022,UT,2680154.6,8.1
1/1/2022,VA,12080405,9.89
1/1/2022,VT,534212.38,16.95
1/1/2022,WA,9059449.7,8.91
1/1/2022,WI,6267188.4,11.53
1/1/2022,WV,3334679.5,9.28
1/1/2022,WY,1494835.5,7.79
12/1/2021,AK,582493.56,19.96
12/1/2021,AL,6630640.6,7.8
12/1/2021,AR,3735826.7,8.66
12/1/2021,AZ,5707407,10.39
12/1/2021,CA,20159177,19.38
12/1/2021,CO,4560692.2,10.97
12/1/2021,CT,2307975.5,18.55
12/1/2021,DC,823383.29,13.79
12/1/2021,DE,942578.51,10.71
12/1/2021,FL,18322563,10.88
12/1/2021,GA,10600262,10.36
12/1/2021,HI,754453.47,33.46
12/1/2021,IA,4505902.2,8.32
12/1/2021,ID,2135572,8.33
12/1/2021,IL,11034921,10.43
12/1/2021,IN,8032309,10.69
12/1/2021,KS,3111174.1,10.15
12/1/2021,KY,6107090.9,9.67
12/1/2021,LA,7272523.2,9.09
12/1/2021,MA,4000713.3,20.18
12/1/2021,MD,4958039.7,12.59
12/1/2021,ME,1048298.1,15.21
12/1/2021,MI,8235782.2,12.85
12/1/2021,MN,5729224.1,10.72
12/1/2021,MO,6171274.2,9.21
12/1/2021,MS,3682163.1,9.78
12/1/2021,MT,1358065.9,9.65
12/1/2021,NC,10940507,9.55
12/1/2021,ND,2223800.6,7.95
12/1/2021,NE,2725734.2,8.39
12/1/2021,NH,940948.56,18.42
12/1/2021,NJ,5686663.5,13.57
12/1/2021,NM,2132652.4,9.38
12/1/2021,NV,2861207.9,8.56
12/1/2021,NY,11574876,15.79
12/1/2021,OH,12121380,10.06
12/1/2021,OK,4960195.7,8.2
12/1/2021,OR,5055838.4,9.16
12/1/2021,PA,12204940,10.65
12/1/2021,RI,569922.46,20.12
12/1/2021,SC,6330518.4,10.14
12/1/2021,SD,1147739.2,10.16
12/1/2021,TN,7946293.5,10.27
12/1/2021,TX,32824847,8.69
12/1/2021,UT,2694614.5,7.97
12/1/2021,VA,9966754.9,9.9
12/1/2021,VT,482768.22,16.79
12/1/2021,WA,8564726.4,8.97
12/1/2021,WI,5873034,10.8
12/1/2021,WV,2812515.7,8.79
12/1/2021,WY,1428248,7.89
11/1/2021,AK,531936.47,20.25
11/1/2021,AL,6484440.9,10.51
11/1/2021,AR,3563077.4,8.76
11/1/2021,AZ,5335618.8,10.14
11/1/2021,CA,18705461,18.96
11/1/2021,CO,4275981.6,11.01
11/1/2021,CT,2087367.3,18.44
11/1/2021,DC,817103.77,14.26
11/1/2021,DE,843651.1,11.18
11/1/2021,FL,16585833,11.32
11/1/2021,GA,10400218,10.7
11/1/2021,HI,765800.18,31.4
11/1/2021,IA,4155852.6,8.22
11/1/2021,ID,1798007.8,8.18
11/1/2021,IL,10358687,10.89
11/1/2021,IN,7761687,10.98
11/1/2021,KS,2997373.6,10.34
11/1/2021,KY,5883939.6,9.8
11/1/2021,LA,7026415.7,9.17
11/1/2021,MA,3904191.2,19.23
11/1/2021,MD,4542493.4,12.02
11/1/2021,ME,841663.13,15.12
11/1/2021,MI,7736450.2,12.91
11/1/2021,MN,5160258.7,11.26
11/1/2021,MO,5752219.9,9.37
11/1/2021,MS,3569930.9,9.95
11/1/2021,MT,1185281.8,9.5
11/1/2021,NC,10300655,9.02
11/1/2021,ND,1948272.2,8.55
11/1/2021,NE,2468017,8.39
11/1/2021,NH,819883.58,17.94
11/1/2021,NJ,5226497.8,13.82
11/1/2021,NM,1967445.8,9.69
11/1/2021,NV,2646419.1,8.49
11/1/2021,NY,10673591,15.88
11/1/2021,OH,11536922,10.18
11/1/2021,OK,4704092.8,8.51
11/1/2021,OR,4127541.1,9.24
11/1/2021,PA,11085557,10.52
11/1/2021,RI,541305.51,18.41
11/1/2021,SC,5860823.8,10.99
11/1/2021,SD,1012284.6,10.05
11/1/2021,TN,7324579.8,10.12
11/1/2021,TX,31245758,8.97
11/1/2021,UT,2442903.1,7.94
11/1/2021,VA,10155654,9.25
11/1/2021,VT,433426.09,16.9
11/1/2021,WA,7152655.9,8.92
11/1/2021,WI,5355776.4,11.01
11/1/2021,WV,2731817.6,9.29
11/1/2021,WY,1310789.3,7.88
10/1/2021,AK,483952.07,20.7
10/1/2021,AL,6826882.8,10.53
10/1/2021,AR,3892072,9.09
10/1/2021,AZ,6112508.5,10.57
10/1/2021,CA,20570550,19.99
10/1/2021,CO,4454753.6,11.05
10/1/2021,CT,2034340.7,18.83
10/1/2021,DC,787870.19,13.65
10/1/2021,DE,843032.63,10.86
10/1/2021,FL,21289942,10.92
10/1/2021,GA,10872145,10.95
10/1/2021,HI,783026.64,31.16
10/1/2021,IA,4211283.7,8.47
10/1/2021,ID,1708312.6,8.2
10/1/2021,IL,10433990,10.64
10/1/2021,IN,7780126.3,10.65
10/1/2021,KS,3198513.9,10.23
10/1/2021,KY,5769426,9.4
10/1/2021,LA,7141006.2,9.36
10/1/2021,MA,3854622.6,19.15
10/1/2021,MD,4221430.4,12.09
10/1/2021,ME,865844.16,14.78
